DBA,Organization,CIDR,bits,net
,Ziply Fiber,50.126.64.0/18,18,50.126.64.0/18
,Eonix Corporation,50.2.0.0/15,15,50.2.0.0/15
,Optimum WiFi,50.29.0.0/17,17,50.29.0.0/17
,Tropicana Gardens,50.30.175.0/24,24,50.30.175.0/24
,Florida High Speed Internet,50.30.48.0/20,20,50.30.48.0/20
,Ziply Fiber,50.37.128.0/17,17,50.37.128.0/17
,Ziply Fiber,50.37.64.0/18,18,50.37.64.0/18
,Ziply Fiber,50.38.0.0/17,17,50.38.0.0/17
,Ziply Fiber,50.45.128.0/17,17,50.45.128.0/17
,Ziply Fiber,50.46.0.0/15,15,50.46.0.0/15
,Ziply Fiber,50.54.128.0/17,17,50.54.128.0/17
,HUSSIAN SCHOOL OF ART,50.73.210.0/29,29,50.73.210.0/29
,RIGHTLINK LOGISTICS,50.84.234.0/29,29,50.84.234.0/29
,TELUS-HSIA-NNIMBC01,50.92.32.0/22,22,50.92.32.0/22
,SoftLayer Technologies Inc.,50.97.0.0/16,16,50.97.0.0/16
,TELUS-HSIA-RTLDBC01,50.98.104.0/22,22,50.98.104.0/22
,TELUS-HSIA-VANCBC06,50.98.120.0/22,22,50.98.120.0/22
,TELUS-HSIA-EDTNABXE,50.99.180.0/22,22,50.99.180.0/22
,American Registry for Internet Numbers,52.0.0.0/8,8,52.0.0.0/8
,"Natural Wireless, LLC",52.119.64.0/19,19,52.119.64.0/19
,"Headquarters, USAISC",6.0.0.0/8,8,6.0.0.0/8
,TOLL,63.130.249.0/29,29,63.130.249.0/29
,Auburn Essential Services - Residential Internet Subscribers,63.131.174.0/24,24,63.131.174.0/24
,Cable and Wireless LTD -Cayman,63.136.112.0/21,21,63.136.112.0/21
,"PhotoShelter, Inc. ",63.141.214.0/23,23,63.141.214.0/23
,Fbivps,63.141.241.0/27,27,63.141.241.0/27
,"reed, Erica",63.141.244.0/29,29,63.141.244.0/29
,"BalsamWest FiberNET, LLC",63.142.128.0/20,20,63.142.128.0/20
,Optimum WiFi,63.142.16.0/20,20,63.142.16.0/20
,Arvig Enterprises Inc.,63.142.176.0/20,20,63.142.176.0/20
,Northwest Internet,63.142.216.0/23,23,63.142.216.0/23
,"PCCW Global, Inc.",63.216.0.0/13,13,63.216.0.0/13
,GEUS,63.246.48.0/20,20,63.246.48.0/20
,SHI,63.247.180.0/27,27,63.247.180.0/27
,NEW CASTLE BUILDING PRODUCTS,63.247.190.0/29,29,63.247.190.0/29
,LEADING PHARMA,63.247.191.0/29,29,63.247.191.0/29
,College of Mount Saint Vincent,63.247.224.0/19,19,63.247.224.0/19
,Internet Access Point Corporation,63.247.96.0/20,20,63.247.96.0/20
,INFONET Services Corporation,63.250.128.0/18,18,63.250.128.0/18
,ALLIANZ,63.250.159.0/29,29,63.250.159.0/29
,SES Americom Inc.,64.110.154.0/23,23,64.110.154.0/23
,SES Americom Inc.,64.110.156.0/22,22,64.110.156.0/22
,SES Americom Inc.,64.110.160.0/19,19,64.110.160.0/19
,Dedicated.com,64.110.24.0/22,22,64.110.24.0/22
,"Natural Wireless, LLC",64.111.64.0/20,20,64.111.64.0/20
,netBlazr,64.112.176.0/21,21,64.112.176.0/21
,New Bridge Technologies Inc.,64.113.240.0/20,20,64.113.240.0/20
,ROYAL BANK,64.114.17.0/27,27,64.114.17.0/27
,Century 21 Best Realty,64.115.42.0/29,29,64.115.42.0/29
,New York Medical College,64.118.208.0/20,20,64.118.208.0/20
,"4RWEB, Inc",64.118.80.0/20,20,64.118.80.0/20
,Sierra Tel Internet,64.118.96.0/19,19,64.118.96.0/19
,Nuvisions,64.119.80.0/20,20,64.119.80.0/20
,NTS Communications,64.130.64.0/19,19,64.130.64.0/19
,"EARTHLINK, INC",64.131.128.0/18,18,64.131.128.0/18
,"EARTHLINK,INC",64.131.192.0/18,18,64.131.192.0/18
,Impact Label,64.136.227.0/29,29,64.136.227.0/29
,BEANFIELD,64.137.144.0/21,21,64.137.144.0/21
,"Horry Telephone Cooperative, Inc.",64.138.192.0/18,18,64.138.192.0/18
,"WebNX, Inc.",64.140.168.0/21,21,64.140.168.0/21
,"Foothills Rural Telephone Cooperative Corporation, Inc.",64.147.224.0/20,20,64.147.224.0/20
,Transact Ltd.,64.147.80.0/20,20,64.147.80.0/20
,NYI,64.147.96.0/19,19,64.147.96.0/19
,HTC Cable Modem IP Pool,64.150.148.0/24,24,64.150.148.0/24
,HTC DSL Modem Pool,64.150.151.0/24,24,64.150.151.0/24
,Cable Bahamas Ltd.,64.150.196.0/23,23,64.150.196.0/23
,Cable Bahamas Ltd.,64.150.198.0/23,23,64.150.198.0/23
,Duncan Cable,64.17.119.0/24,24,64.17.119.0/24
,Rialto USD.751,64.173.224.0/24,24,64.173.224.0/24
,"HART COMMUNICATIONS, INC.",64.179.192.0/20,20,64.179.192.0/20
,"CityBridge, LLC",64.18.10.0/24,24,64.18.10.0/24
,"CityBridge, LLC",64.18.9.0/24,24,64.18.9.0/24
,"Visionary Communications, Inc.",64.184.224.0/19,19,64.184.224.0/19
,PARISH OF TRINITY CHURCH,64.185.241.0/24,24,64.185.241.0/24
,"AMEREAM NJP, LLC",64.187.120.0/23,23,64.187.120.0/23
,New York Institute of Technology,64.187.240.0/20,20,64.187.240.0/20
,"Kentec Communications, Inc.",64.187.64.0/19,19,64.187.64.0/19
,Zito Media,64.188.128.0/17,17,64.188.128.0/17
,zito media,64.188.198.0/23,23,64.188.198.0/23
,zito media,64.188.254.0/23,23,64.188.254.0/23
,Apogee Telecom Inc.,64.189.0.0/16,16,64.189.0.0/16
,Monmouth Internet Corp,64.19.128.0/18,18,64.19.128.0/18
,"Network Billing Systems, LLC",64.190.10.0/23,23,64.190.10.0/23
,"Network Billing Systems, LLC",64.190.12.0/22,22,64.190.12.0/22
,"Network Billing Systems, LLC",64.190.150.0/24,24,64.190.150.0/24
,"Network Billing Systems, LLC",64.190.16.0/22,22,64.190.16.0/22
,"Network Billing Systems, LLC",64.190.187.0/24,24,64.190.187.0/24
,"Network Billing Systems, LLC",64.190.188.0/24,24,64.190.188.0/24
,"Network Billing Systems, LLC",64.190.20.0/23,23,64.190.20.0/23
,"Network Billing Systems, LLC",64.190.22.0/24,24,64.190.22.0/24
,"Network Billing Systems, LLC",64.190.228.0/22,22,64.190.228.0/22
,"Network Billing Systems, LLC",64.190.23.0/24,24,64.190.23.0/24
,"Network Billing Systems, LLC",64.190.232.0/22,22,64.190.232.0/22
,"Network Billing Systems, LLC",64.190.24.0/23,23,64.190.24.0/23
,"Network Billing Systems, LLC",64.190.26.0/24,24,64.190.26.0/24
,"Network Billing Systems, LLC",64.190.28.0/22,22,64.190.28.0/22
,"Network Billing Systems, LLC",64.190.32.0/22,22,64.190.32.0/22
,"Network Billing Systems, LLC",64.190.48.0/21,21,64.190.48.0/21
,"Network Billing Systems, LLC",64.190.56.0/22,22,64.190.56.0/22
,"Network Billing Systems, LLC",64.190.60.0/23,23,64.190.60.0/23
,Open Access Inc.,64.195.212.0/24,24,64.195.212.0/24
,Hartford Newington Hospitals,64.195.215.0/30,30,64.195.215.0/30
,BROWN HARRIS STEVENS,64.195.224.0/24,24,64.195.224.0/24
,"Transbeam, Inc.",64.20.0.0/20,20,64.20.0.0/20
,"Hargray Communications Group, Inc.",64.20.128.0/19,19,64.20.128.0/19
,Sidera Networks LLC,64.20.160.0/19,19,64.20.160.0/19
,DREAM TEAM ASSOCIATES LLC,64.20.178.0/24,24,64.20.178.0/24
,HORNBLOWER CRUISES,64.21.211.0/27,27,64.21.211.0/27
,Tele (Barbados) Inc.,64.210.40.0/21,21,64.210.40.0/21
,"INOC, LLC",64.22.32.0/19,19,64.22.32.0/19
,"FAIRPOINT COMMUNICATIONS, INC.",64.222.192.0/18,18,64.222.192.0/18
,"FAIRPOINT COMMUNICATIONS, INC.",64.222.64.0/18,18,64.222.64.0/18
,Bond Auto Parts Supply,64.222.70.0/29,29,64.222.70.0/29
,"FAIRPOINT COMMUNICATIONS, INC.",64.223.128.0/18,18,64.223.128.0/18
,NORTHLAND CABLE TELEVISION INC.,64.234.96.0/22,22,64.234.96.0/22
,"EPIQ Systems, Inc",64.235.16.0/20,20,64.235.16.0/20
,Domino'S Pizza-Store 7744,64.237.120.0/30,30,64.237.120.0/30
,Puerto Rico Telephone Company,64.237.128.0/17,17,64.237.128.0/17
,"Choopa, LLC",64.237.32.0/19,19,64.237.32.0/19
,Exobit Networks Inc.,64.238.128.0/20,20,64.238.128.0/20
,Lia Automotive Group,64.238.135.0/29,29,64.238.135.0/29
,CyrusOne LLC,64.238.144.0/20,20,64.238.144.0/20
,Integrated Finance Ltd,64.238.213.0/27,27,64.238.213.0/27
,gTel Teleconnections,64.246.148.0/22,22,64.246.148.0/22
,"MTC Broadband, Inc.",64.246.159.0/24,24,64.246.159.0/24
,TelJet,64.25.208.0/20,20,64.25.208.0/20
,New York City Health & Hospitals Corporation,64.251.32.0/20,20,64.251.32.0/20
,Connecticut Education Network,64.251.48.0/20,20,64.251.48.0/20
,Woodbury/Nonnewaug High School,64.251.54.0/27,27,64.251.54.0/27
,Windsor Locks Public Schools,64.251.55.0/27,27,64.251.55.0/27
,250 ASHLAND,64.252.11.0/24,24,64.252.11.0/24
,NTT Global Networks Incorporated,64.254.96.0/19,19,64.254.96.0/19
,EvolveIP LLC,64.27.40.0/28,28,64.27.40.0/28
,"DataPipe, Inc.",64.27.64.0/18,18,64.27.64.0/18
,Adecco USA Inc,64.29.32.0/20,20,64.29.32.0/20
,Nelson Telephone Company,64.33.141.0/24,24,64.33.141.0/24
,Amery Telephone Company,64.33.143.0/25,25,64.33.143.0/25
,New York Institute of Technology,64.35.176.0/20,20,64.35.176.0/20
,nTelos DHCP Range for DSL,64.4.96.0/22,22,64.4.96.0/22
,TellerWifi,64.40.0.0/22,22,64.40.0.0/22
,"ZILLOW, INC.",64.42.184.0/21,21,64.42.184.0/21
,Novus Entertainment Inc.,64.46.0.0/19,19,64.46.0.0/19
,EVEREST BROADBAND NETWORKS,64.49.64.0/19,19,64.49.64.0/19
,"T.E. Systems, Inc.",64.49.71.0/28,28,64.49.71.0/28
,EVEREST BROADBAND NETWORKS,64.49.96.0/20,20,64.49.96.0/20
,NYI,64.5.122.0/24,24,64.5.122.0/24
,WHRO,64.5.128.0/19,19,64.5.128.0/19
,McLaughlin and Stern,64.52.45.0/27,27,64.52.45.0/27
,Spirit Communications,64.53.0.0/17,17,64.53.0.0/17
,EATEL,64.56.0.0/19,19,64.56.0.0/19
,Direct Plus,64.57.192.0/20,20,64.57.192.0/20
,4Voice LLC,64.57.250.0/27,27,64.57.250.0/27
,Allegheny Intermediate Unit,64.58.250.0/23,23,64.58.250.0/23
,Priceline.com,64.6.16.0/20,20,64.6.16.0/20
,Glimsher,64.63.150.0/29,29,64.63.150.0/29
,"Localoop, NC",64.63.153.0/27,27,64.63.153.0/27
,"J&B Importers, Inc.",64.63.154.0/29,29,64.63.154.0/29
,"TMJ and Sleep Therapy Centre of Chicago, LLC",64.63.164.0/30,30,64.63.164.0/30
,Ruby Tuesday,64.63.165.0/29,29,64.63.165.0/29
,Verified Credible,64.64.105.0/24,24,64.64.105.0/24
,Fuzion USA,64.64.110.0/24,24,64.64.110.0/24
,IndiGO Networks,64.66.0.0/20,20,64.66.0.0/20
,PenTeleData Inc. ,64.67.0.0/16,16,64.67.0.0/16
,"LIKOM CASEWORKS USA, INC",64.68.212.0/28,28,64.68.212.0/28
,McDaniel College,64.69.128.0/20,20,64.69.128.0/20
,CBI Connect Inc.,64.70.112.0/20,20,64.70.112.0/20
,"HUDSON VALLEY DATANET, LLC",64.72.64.0/19,19,64.72.64.0/19
,"Central Utah Telephone, Inc.",64.77.240.0/20,20,64.77.240.0/20
,Nuvisions,64.78.240.0/20,20,64.78.240.0/20
,All Points Broadband,64.79.48.0/20,20,64.79.48.0/20
,TATA COMMUNICATIONS (AMERICA) INC,64.86.0.0/16,16,64.86.0.0/16
,PanAmSat Corporation,64.88.224.0/20,20,64.88.224.0/20
,Mossel/Digicel (Jamaica) Ltd.,64.88.227.0/29,29,64.88.227.0/29
,NYI,64.90.160.0/19,19,64.90.160.0/19
,SinglePipe LLC,64.92.64.0/19,19,64.92.64.0/19
,TF-178-WMMD,64.98.240.0/21,21,64.98.240.0/21
,Iowa State University,65.110.224.0/19,19,65.110.224.0/19
,"Steve Madden, Inc.",65.160.91.0/24,24,65.160.91.0/24
,"Hiawatha Broadband Communications, Inc",65.162.40.0/21,21,65.162.40.0/21
,The North-Eastern Pennsylvania Telephone Company,65.167.40.0/21,21,65.167.40.0/21
,Atlantic Broadband,65.175.158.0/24,24,65.175.158.0/24
,Atlantic Broadband,65.175.180.0/24,24,65.175.180.0/24
,Atlantic Broadband,65.175.194.0/24,24,65.175.194.0/24
,Atlantic Broadband,65.175.207.0/24,24,65.175.207.0/24
,Atlantic Broadband,65.175.212.0/24,24,65.175.212.0/24
,Atlantic Broadband,65.175.216.0/24,24,65.175.216.0/24
,NTS Communications,65.182.64.0/19,19,65.182.64.0/19
,Burlington Telecom,65.183.128.0/19,19,65.183.128.0/19
,Columbus Communications Jamaica Limited,65.183.4.0/22,22,65.183.4.0/22
,Green Mountain Access,65.19.65.0/25,25,65.19.65.0/25
,Green Mountain Access,65.19.65.128/26,26,65.19.65.128/26
,Green Mountain Access,65.19.65.192/27,27,65.19.65.192/27
,Green Mountain Access,65.19.65.224/28,28,65.19.65.224/28
,Green Mountain Access,65.19.65.240/29,29,65.19.65.240/29
,Green Mountain Access,65.19.65.248/30,30,65.19.65.248/30
,Green Mountain Access,65.19.65.252/31,31,65.19.65.252/31
,Green Mountain Access,65.19.65.254/32,32,65.19.65.254/32
,Puerto Rico Telephone Company,65.23.192.0/18,18,65.23.192.0/18
,"City of Martinsville, VA",65.254.187.0/24,24,65.254.187.0/24
,"Boingo Wireless, Inc.",65.254.195.0/24,24,65.254.195.0/24
,Pioneer Long Distance Inc.,65.255.64.0/19,19,65.255.64.0/19
,Grande Communications AUSTIN HUB 1,65.36.120.0/21,21,65.36.120.0/21
,Grande Communications CORPUS CHRISTI HUB 1,65.36.72.0/21,21,65.36.72.0/21
,Lakehead University,65.39.0.0/18,18,65.39.0.0/18
,Cable & Wireless (Barbados) Limited,65.48.128.0/17,17,65.48.128.0/17
,NBS,65.48.96.0/20,20,65.48.96.0/20
,"FI -TEK, LLC",65.51.137.0/26,26,65.51.137.0/26
,VALIDUS PHARMACEUTICALS LLC,65.51.188.0/29,29,65.51.188.0/29
,Osborn Retirement Community,65.51.23.0/27,27,65.51.23.0/27
,BREAKTHROUGH CONCEPTS,65.51.230.0/28,28,65.51.230.0/28
,"CELULARITY BIOSOURCING, LLC",65.51.250.0/29,29,65.51.250.0/29
,Infiniti of Englewood,65.51.52.0/29,29,65.51.52.0/29
,Pratt Institute,65.51.58.0/23,23,65.51.58.0/23
,Cable Bahamas,65.75.105.0/24,24,65.75.105.0/24
,Cable Bahamas,65.75.86.0/23,23,65.75.86.0/23
,Cable Bahamas,65.75.99.0/25,25,65.75.99.0/25
,Nmax,65.79.240.0/20,20,65.79.240.0/20
,APTIM,65.82.126.0/24,24,65.82.126.0/24
,"3Men@Work Integrated Networks, Inc.",65.97.32.0/20,20,65.97.32.0/20
,TPx Communications,65.98.180.0/22,22,65.98.180.0/22
,TPx Communications,65.98.184.0/21,21,65.98.184.0/21
,TPx Communications,65.98.192.0/19,19,65.98.192.0/19
,TPx Communications,65.98.224.0/21,21,65.98.224.0/21
,TPx Communications,65.98.241.0/24,24,65.98.241.0/24
,TPx Communications,65.98.242.0/23,23,65.98.242.0/23
,TPx Communications,65.98.244.0/22,22,65.98.244.0/22
,TPx Communications,65.98.248.0/22,22,65.98.248.0/22
,TPx Communications,65.98.252.0/24,24,65.98.252.0/24
,Atlantic Broadband,65.99.117.0/24,24,65.99.117.0/24
,Atlantic Broadband,65.99.123.0/24,24,65.99.123.0/24
,Atlantic Broadband,65.99.127.0/24,24,65.99.127.0/24
,HWC,66.103.1.0/28,28,66.103.1.0/28
,Hutchinson Telephone Company,66.103.160.0/19,19,66.103.160.0/19
,Galaxyvisions Inc,66.109.16.0/20,20,66.109.16.0/20
,First Light Fiber,66.109.32.0/19,19,66.109.32.0/19
,FlightSafety International,66.109.80.0/20,20,66.109.80.0/20
,TATA COMMUNICATIONS (AMERICA) INC,66.110.0.0/17,17,66.110.0.0/17
,Connexly LLC,66.111.60.0/22,22,66.111.60.0/22
,"3 Rivers Telephone Cooperative, Inc.",66.113.38.0/24,24,66.113.38.0/24
,"Ace Innovative Networks, Inc.",66.114.64.0/19,19,66.114.64.0/19
,Mitchell Telecom,66.115.248.0/22,22,66.115.248.0/22
,Advanced Legal Systems,66.116.122.0/27,27,66.116.122.0/27
,"Microserve, Inc.",66.117.112.0/20,20,66.117.112.0/20
,The Darien Telephone Co. Inc.,66.118.96.0/20,20,66.118.96.0/20
,IronPoint,66.119.178.0/28,28,66.119.178.0/28
,Grupo Cable Sula,66.119.72.0/22,22,66.119.72.0/22
,Xchange Telecom Corp.,66.128.0.0/20,20,66.128.0.0/20
,"Juniper Networks, Inc.",66.129.224.0/19,19,66.129.224.0/19
,SES Americom Inc.,66.133.0.0/22,22,66.133.0.0/22
,O3b Networks USA LLC,66.133.10.0/23,23,66.133.10.0/23
,SES Americom Inc.,66.133.14.0/23,23,66.133.14.0/23
,SES Americom Inc.,66.133.16.0/20,20,66.133.16.0/20
,SES Americom Inc.,66.133.32.0/20,20,66.133.32.0/20
,SES Americom Inc.,66.133.4.0/23,23,66.133.4.0/23
,SES Americom Inc.,66.133.48.0/21,21,66.133.48.0/21
,SES Americom Inc.,66.133.56.0/24,24,66.133.56.0/24
,"Access Media Holdings, LLC",66.135.128.0/18,18,66.135.128.0/18
,"Ultimate Internet Access, Inc",66.146.0.0/17,17,66.146.0.0/17
,McMahon Publishing Group,66.147.219.0/24,24,66.147.219.0/24
,Daylight Transportation,66.150.146.0/23,23,66.150.146.0/23
,Richard Fleischman and Associates,66.151.213.0/24,24,66.151.213.0/24
,Deerfield Management,66.151.215.0/24,24,66.151.215.0/24
,"FINGER LAKES TECHNOLOGIES GROUP, INC.",66.152.112.0/20,20,66.152.112.0/20
,HTC - South Conway LAN,66.153.189.0/24,24,66.153.189.0/24
,HTC DSL Modem Pool,66.153.201.0/24,24,66.153.201.0/24
,HTC - DSL Modem Pool,66.153.225.0/24,24,66.153.225.0/24
,HTC - DSL Modem Pool,66.153.237.0/24,24,66.153.237.0/24
,HTC - DSL Modem Pool,66.153.242.0/24,24,66.153.242.0/24
,Cronomagic Canada Inc.,66.159.32.0/20,20,66.159.32.0/20
,"MM Internet, Inc.",66.159.48.0/20,20,66.159.48.0/20
,"NetCarrier, Inc.",66.160.224.0/20,20,66.160.224.0/20
,T. Grand Networks Inc.,66.171.128.0/20,20,66.171.128.0/20
,Beanfield Technologies Inc.,66.171.160.0/20,20,66.171.160.0/20
,Atlas Networks Corporation,66.171.176.0/20,20,66.171.176.0/20
,HunterCommunications,66.178.62.0/28,28,66.178.62.0/28
,"ZL TECHNOLOGIES, INC. Cloud",66.179.72.0/29,29,66.179.72.0/29
,SOUTH CANAAN TELEPHONE COMPANY,66.180.16.0/20,20,66.180.16.0/20
,Princeton University,66.180.176.0/20,20,66.180.176.0/20
,PRTC,66.180.224.0/20,20,66.180.224.0/20
,"CONTINENTAL BROADBAND PENNSYLVANIA, INC.",66.181.64.0/19,19,66.181.64.0/19
,Millennium Telcom LLC,66.182.192.0/18,18,66.182.192.0/18
,TELUS-HSIA-VANCBC08,66.183.144.0/22,22,66.183.144.0/22
,EATEL,66.186.224.0/19,19,66.186.224.0/19
,LENNO,66.187.19.0/24,24,66.187.19.0/24
,LENNO,66.187.21.0/24,24,66.187.21.0/24
,LENNO,66.187.22.0/23,23,66.187.22.0/23
,LENNO,66.187.24.0/22,22,66.187.24.0/22
,TATA Communications,66.198.167.0/24,24,66.198.167.0/24
,ROYAL CARIBBEAN CRUISES LTD.					,66.198.184.0/28,28,66.198.184.0/28
,Xspedius Communications Co.,66.199.0.0/19,19,66.199.0.0/19
,Toronto Catholic District School Board,66.199.36.0/24,24,66.199.36.0/24
,NOC4Hosts Inc.,66.206.0.0/19,19,66.206.0.0/19
,Gemini Fund Services LLC,66.206.114.0/28,28,66.206.114.0/28
,Polytechnic University,66.206.120.0/26,26,66.206.120.0/26
,US Electrodynamics Inc.,66.206.121.0/24,24,66.206.121.0/24
,"Regus Management Group, LLC",66.206.127.0/25,25,66.206.127.0/25
,"Empire International, Ltd.",66.207.144.0/20,20,66.207.144.0/20
,MNK TECHNOLOGIES,66.208.240.0/29,29,66.208.240.0/29
,L DISCOVERY,66.208.243.0/29,29,66.208.243.0/29
,Janra Holdings Inc.,66.209.78.0/27,27,66.209.78.0/27
,THE LEARNING TREE - BHM,66.21.47.0/27,27,66.21.47.0/27
,FirstLight Fiber,66.211.128.0/19,19,66.211.128.0/19
,"Velocity Network, Inc.",66.211.192.0/18,18,66.211.192.0/18
,NetCarrier,66.212.4.0/29,29,66.212.4.0/29
,Digicel Jamaica,66.212.52.0/22,22,66.212.52.0/22
,CONSORTIUM FOR WORKER EDUCATION,66.212.80.0/20,20,66.212.80.0/20
,WV FIBER,66.216.0.0/18,18,66.216.0.0/18
,"Vermont Telephone Company, Inc.",66.220.224.0/19,19,66.220.224.0/19
,Economic Computer Systems Inc. dba Mid Atlantic Broadband,66.225.64.0/18,18,66.225.64.0/18
,Yadkin Valley Telephone,66.226.32.0/19,19,66.226.32.0/19
,Dedicated.com,66.23.200.0/21,21,66.23.200.0/21
,"Interserver, Inc",66.23.224.0/20,20,66.23.224.0/20
,First Light Fiber,66.231.192.0/19,19,66.231.192.0/19
,Astound Broadband,66.234.192.0/19,19,66.234.192.0/19
,"Transbeam, Inc.",66.234.224.0/19,19,66.234.224.0/19
,New York Connect,66.234.32.0/19,19,66.234.32.0/19
,Millennium Digital Media,66.235.0.0/22,22,66.235.0.0/22
,Ashland Fiber Network,66.241.64.0/19,19,66.241.64.0/19
,PIVOT,66.243.200.0/21,21,66.243.200.0/21
,Shaw Telecom G.P.,66.244.192.0/18,18,66.244.192.0/18
,VIPowerNet,66.248.183.0/24,24,66.248.183.0/24
,Digicel Jamaica,66.249.144.0/20,20,66.249.144.0/20
,MMC SITES,66.252.35.0/25,25,66.252.35.0/25
,SoCam 290,66.253.128.0/24,24,66.253.128.0/24
,The Pavilion on 62nd,66.253.132.0/22,22,66.253.132.0/22
,Sheffield at Englewood South,66.253.153.0/24,24,66.253.153.0/24
,Vivian - Englewood Phase 3,66.253.251.0/24,24,66.253.251.0/24
,"BAYADA - S0234 ERIE, PA (ERA)",66.255.138.0/30,30,66.255.138.0/30
,DENSO,66.255.245.0/29,29,66.255.245.0/29
,Utah Broadband LLC,66.29.160.0/19,19,66.29.160.0/19
,"Lightower Fiber Networks I, LLC",66.37.32.0/20,20,66.37.32.0/20
,Citizens Telephone Cooperative,66.37.64.0/19,19,66.37.64.0/19
,South Central Rural Telecommunications Cooperative Inc.,66.38.36.0/23,23,66.38.36.0/23
,Brandenburg Telephone Company,66.38.56.0/23,23,66.38.56.0/23
,State of Tennessee Department of Education,66.4.0.0/15,15,66.4.0.0/15
,RGII,66.43.102.0/24,24,66.43.102.0/24
,Avianca,66.43.104.0/28,28,66.43.104.0/28
,Telekenex Inc,66.43.105.0/24,24,66.43.105.0/24
,Telekenex Inc,66.43.106.0/24,24,66.43.106.0/24
,Cacophony-RGTS-1221,66.43.111.0/24,24,66.43.111.0/24
,"Convergeone Unified Technology Solutions, Inc.",66.43.120.0/21,21,66.43.120.0/21
,"Convergeone Unified Technology Solutions, Inc.",66.43.64.0/20,20,66.43.64.0/20
,"Convergeone Unified Technology Solutions, Inc.",66.43.80.0/21,21,66.43.80.0/21
,"Convergeone Unified Technology Solutions, Inc.",66.43.88.0/22,22,66.43.88.0/22
,RGTS,66.43.92.0/24,24,66.43.92.0/24
,1-Source,66.43.98.0/26,26,66.43.98.0/26
,Allstream Corp.,66.46.0.0/16,16,66.46.0.0/16
,Advanced Datacapture,66.51.67.0/27,27,66.51.67.0/27
,Digicel Jamaica,66.54.112.0/20,20,66.54.112.0/20
,North Rock Communications Ltd.,66.55.112.0/20,20,66.55.112.0/20
,GameServers.com,66.55.154.0/24,24,66.55.154.0/24
,"NBA Properties, Inc.",66.6.224.0/19,19,66.6.224.0/19
,Pride Industries,66.60.181.0/27,27,66.60.181.0/27
,Great Works Internet,66.63.64.0/18,18,66.63.64.0/18
,The Pennsylvania State University,66.71.0.0/17,17,66.71.0.0/17
,Nexicom Inc.,66.79.250.0/24,24,66.79.250.0/24
,Air Advantage LLC,66.84.96.0/19,19,66.84.96.0/19
,Lambton Kent District School Board,66.85.12.0/24,24,66.85.12.0/24
,M2ngage Telecommunications II Corp.,66.9.0.0/16,16,66.9.0.0/16
,Grande Communications CORPUS CHRISTI HUB 2,66.90.192.0/23,23,66.90.192.0/23
,"London, KY Internet POP - Dynamic DSL Pool",67.140.160.0/20,20,67.140.160.0/20
,BASF CORPORATION-US765298 EAST SETAUKET,67.151.105.0/30,30,67.151.105.0/30
,BROOKLYN HOSPITAL - 19 ROCKWELL PLACE,67.151.32.0/30,30,67.151.32.0/30
,RICHARD OSCAR ASSOCIATES,67.151.44.0/27,27,67.151.44.0/27
,NETWORK COURIER,67.151.92.0/29,29,67.151.92.0/29
,"FAIRPOINT COMMUNICATIONS, INC.",67.158.178.0/23,23,67.158.178.0/23
,Clarity Telecom LLC,67.158.32.0/20,20,67.158.32.0/20
,University of Michigan Division of Student Affairs,67.194.200.0/24,24,67.194.200.0/24
,Grande Communications AUSTIN HUB 2,67.198.76.0/22,22,67.198.76.0/22
,"Free Web Network, Inc.",67.199.139.0/24,24,67.199.139.0/24
,Xplornet Communications Inc.,67.201.128.0/18,18,67.201.128.0/18
,"Sungard Availability Network Solutions, Inc.",67.202.192.0/18,18,67.202.192.0/18
,LANDESBANK HESSEN-THURINGEN GIROZENTRAL,67.202.210.0/29,29,67.202.210.0/29
,OSNET Wireless,67.206.200.0/21,21,67.206.200.0/21
,University of Texas Rio Grande Valley,67.207.0.0/19,19,67.207.0.0/19
,Plateau Telecommunications Incorporated,67.209.192.0/19,19,67.209.192.0/19
,Emerging Markets Communications,67.21.16.0/20,20,67.21.16.0/20
,Q9 Networks Inc.,67.210.208.0/20,20,67.210.208.0/20
,Alteva Inc,67.210.32.0/20,20,67.210.32.0/20
,Accelerated Connections Inc.,67.211.112.0/20,20,67.211.112.0/20
,"Interserver, Inc",67.211.208.0/20,20,67.211.208.0/20
,Triad Technologies,67.211.228.0/28,28,67.211.228.0/28
,WTAS,67.211.231.0/31,31,67.211.231.0/31
,DC74 LLC,67.212.0.0/20,20,67.212.0.0/20
,HTC,67.212.63.0/24,24,67.212.63.0/24
,UBTANET,67.213.224.0/19,19,67.213.224.0/19
,Jacobi International Inc.,67.214.32.0/20,20,67.214.32.0/20
,"Towerstream I, Inc.",67.216.16.0/20,20,67.216.16.0/20
,Edison Price Lighting,67.216.21.0/24,24,67.216.21.0/24
,Standard Internet Services LLC,67.216.22.0/24,24,67.216.22.0/24
,Carrytel,67.216.32.0/19,19,67.216.32.0/19
,"Latisys-Ashburn, LLC",67.217.160.0/19,19,67.217.160.0/19
,Connecticut Public Broadcasting Network,67.218.88.0/27,27,67.218.88.0/27
,Hotchkiss School,67.218.90.0/25,25,67.218.90.0/25
,Bhagvatiben Patel,67.219.146.0/29,29,67.219.146.0/29
,RESOURCE AMERICA,67.219.181.0/24,24,67.219.181.0/24
,Huron Telecommunications Co-operative Limited,67.220.40.0/21,21,67.220.40.0/21
